date,hour,holiday,workingday,weekday,weather_type,temp,ftemp,humidity,wind_speed,casual,subscribed,usage
2011-01-12,10,0,1,3,1,0.18,0.1818,0.55,0.2239,0,117,117
2011-01-12,11,0,1,3,1,0.2,0.1818,0.51,0.3881,12,96,108
2011-01-12,12,0,1,3,1,0.2,0.1515,0.47,0.5821,12,156,168
2011-01-12,13,0,1,3,1,0.22,-,0.44,0.3582,0,147,147
2011-01-12,14,0,1,3,1,0.2,0.1818,0.47,0.3284,0,132,132
2011-01-12,15,0,1,3,1,0.2,-,0.47,0.4179,4,144,148
2011-01-12,16,0,1,3,1,0.22,0.19699999999999998,0.44,0.3284,20,189,209
2011-01-12,17,0,1,3,1,0.2,0.1818,0.47,0.3582,0,417,417
2011-01-12,18,0,1,3,1,0.2,0.1515,0.47,0.5224,8,405,413
2011-01-12,19,0,1,3,1,0.18,-,0.47,0.4179,4,246,250
2011-01-12,20,0,1,3,1,0.16,0.1364,0.5,0.3284,8,162,170
2011-01-12,21,0,1,3,1,0.16,-,0.55,0.3284,0,171,171
2011-01-12,22,0,1,3,1,0.16,0.1212,0.55,0.4478,4,96,100
2011-01-12,23,0,1,3,1,0.14,0.1061,0.59,0.4179,4,57,61
2011-01-13,0,0,1,4,1,0.14,0.1212,0.59,0.2836,4,18,22
2011-01-13,1,0,1,4,1,0.14,0.1212,0.5,0.2836,0,6,6
2011-01-13,2,0,1,4,1,0.14,0.1212,0.5,0.3582,0,6,6
2011-01-13,3,0,1,4,1,0.14,0.1212,0.5,0.3284,0,9,9
2011-01-13,4,0,1,4,1,0.14,0.1212,0.5,0.2537,0,12,12
2011-01-13,5,0,1,4,1,0.14,0.1212,0.5,0.2985,0,9,9
2011-01-13,6,0,1,4,1,0.12,0.1515,0.54,0.1343,0,84,84
2011-01-13,7,0,1,4,1,0.12,0.1515,0.54,0.1343,0,216,216
2011-01-13,8,0,1,4,1,0.14,-,0.5,0.19399999999999998,20,591,611
2011-01-13,9,0,1,4,1,0.14,0.1212,0.5,0.3284,8,411,419
2011-01-13,10,0,1,4,2,0.16,0.1364,0.5,0.3582,8,108,116
2011-01-13,11,0,1,4,2,0.2,0.1667,0.44,0.4478,16,99,115
2011-01-13,12,0,1,4,1,0.2,0.1667,0.44,0.4179,12,147,159
2011-01-13,13,0,1,4,1,0.22,0.19699999999999998,0.41,0.4478,8,243,251
2011-01-13,14,0,1,4,1,0.22,0.19699999999999998,0.41,0.3881,12,117,129
2011-01-13,15,0,1,4,1,0.24,0.2121,0.38,0.2985,20,165,185
2011-01-13,16,0,1,4,1,0.24,-,0.38,0.3582,8,228,236
2011-01-13,17,0,1,4,1,0.2,0.1818,0.4,0.2836,16,474,490
2011-01-13,18,0,1,4,1,0.2,0.1818,0.4,0.3284,12,423,435
2011-01-13,19,0,1,4,1,0.16,0.1515,0.47,0.2537,4,294,298
2011-01-13,20,0,1,4,1,0.16,-,0.47,0.2239,0,192,192
2011-01-13,21,0,1,4,1,0.14,0.1212,0.46,0.2985,0,120,120
2011-01-13,22,0,1,4,1,0.14,0.1212,0.46,0.3284,0,90,90
2011-01-13,23,0,1,4,1,0.12,0.1364,0.5,0.19399999999999998,4,42,46
2011-01-18,12,0,1,2,2,0.2,0.1818,0.86,0.3284,0,9,9
2011-01-18,13,0,1,2,2,0.2,0.19699999999999998,0.86,0.2239,0,66,66
2011-01-18,14,0,1,2,2,0.22,0.2273,0.8,0.1642,8,78,86
2011-01-18,15,0,1,2,2,0.22,0.2273,0.87,0.1642,12,96,108
2011-01-18,16,0,1,2,2,0.22,0.2273,0.87,0.19399999999999998,0,183,183
2011-01-18,17,0,1,2,2,0.22,0.2273,0.82,0.19399999999999998,4,372,376
2011-01-18,18,0,1,2,2,0.22,-,0.8,0.1642,4,396,400
2011-01-18,19,0,1,2,2,0.22,0.2273,0.8,0.1343,4,294,298
2011-01-18,20,0,1,2,2,0.22,0.2727,0.87,0.0,0,249,249
2011-01-18,21,0,1,2,2,0.22,0.2424,0.93,0.1045,0,123,123
2011-01-18,22,0,1,2,2,0.22,0.2576,0.93,0.0896,0,99,99
2011-01-18,23,0,1,2,2,0.22,0.2727,0.93,0.0,4,57,61
2011-01-19,0,0,1,3,2,0.22,0.2727,0.93,0.0,0,9,9
2011-01-19,1,0,1,3,3,0.22,-,0.93,0.1343,4,18,22
2011-01-19,2,0,1,3,3,0.22,0.2273,0.93,0.1343,0,9,9
2011-01-19,4,0,1,3,3,0.22,0.2273,0.93,0.1343,4,3,7
2011-01-19,5,0,1,3,2,0.22,0.2576,0.93,0.0896,0,21,21
2011-01-19,6,0,1,3,2,0.22,0.2576,0.93,0.0896,0,96,96
2011-01-19,7,0,1,3,2,0.24,0.2576,0.92,0.1045,4,267,271
2011-01-19,8,0,1,3,2,0.24,-,0.93,0.1045,4,588,592
2011-01-19,9,0,1,3,2,0.24,0.2576,0.93,0.1045,8,321,329
2011-01-19,10,0,1,3,2,0.26,0.2727,0.93,0.1343,4,138,142
2011-01-19,11,0,1,3,2,0.28,0.303,0.87,0.0896,20,141,161
2011-01-19,12,0,1,3,2,0.3,0.3182,0.81,0.0896,20,195,215
2011-01-19,13,0,1,3,1,0.4,0.4091,0.62,0.2836,44,201,245
2011-01-19,14,0,1,3,1,0.4,-,0.58,0.2537,28,204,232
2011-01-19,15,0,1,3,1,0.4,0.4091,0.54,0.2836,16,234,250
2011-01-19,16,0,1,3,1,0.38,-,0.58,0.3881,40,282,322
2011-01-19,17,0,1,3,1,0.36,-,0.57,0.3284,28,570,598
2011-01-19,18,0,1,3,1,0.34,0.3182,0.61,0.2836,20,468,488
2011-01-19,19,0,1,3,1,0.32,-,0.57,0.4179,16,324,340
2011-01-19,20,0,1,3,1,0.32,0.303,0.49,0.2985,8,222,230
2011-01-19,21,0,1,3,1,0.32,0.2879,0.49,0.4179,16,165,181
2011-01-19,22,0,1,3,1,0.3,0.303,0.52,0.1642,24,159,183
2011-01-19,23,0,1,3,1,0.3,-,0.52,0.4627,4,81,85
2011-01-20,0,0,1,4,1,0.26,-,0.56,0.3881,20,24,44
2011-01-20,1,0,1,4,1,0.26,0.2727,0.56,0.0,8,9,17
2011-01-20,2,0,1,4,1,0.26,-,0.56,0.0,0,6,6
2011-01-20,3,0,1,4,1,0.26,0.2576,0.56,0.1642,0,3,3
2011-01-20,4,0,1,4,1,0.26,0.2576,0.56,0.1642,0,3,3
2011-01-20,5,0,1,4,1,0.24,0.2273,0.6,0.2239,0,18,18
2011-01-20,6,0,1,4,1,0.22,-,0.6,0.2239,0,105,105
2011-01-20,7,0,1,4,1,0.22,-,0.55,0.2239,4,300,304
2011-01-20,8,0,1,4,1,0.22,-,0.55,0.2836,8,741,749
2011-01-20,9,0,1,4,2,0.24,0.2273,0.52,0.2239,12,420,432
2011-01-20,10,0,1,4,1,0.26,-,0.48,0.2985,4,168,172
2011-01-20,11,0,1,4,2,0.28,-,0.45,0.1642,20,189,209
2011-01-20,12,0,1,4,2,0.3,0.3333,0.42,0.0,28,231,259
2011-01-20,13,0,1,4,2,0.28,-,0.45,0.1045,48,258,306
2011-01-20,14,0,1,4,2,0.3,0.303,0.45,0.1343,24,225,249
2011-01-20,15,0,1,4,2,0.32,0.3182,0.45,0.19399999999999998,32,186,218
2011-01-20,16,0,1,4,2,0.3,-,0.49,0.1343,32,249,281
2011-01-20,17,0,1,4,2,0.3,0.3182,0.49,0.1045,32,621,653
2011-01-20,18,0,1,4,2,0.26,-,0.56,0.19399999999999998,4,552,556
2011-01-20,19,0,1,4,1,0.26,0.2273,0.56,0.3284,24,438,462
2011-01-20,20,0,1,4,2,0.26,0.2424,0.6,0.2836,8,372,380
2011-01-20,21,0,1,4,2,0.24,-,0.6,0.2537,12,162,174
2011-01-20,22,0,1,4,2,0.24,0.2121,0.65,0.2836,0,168,168
2011-01-20,23,0,1,4,2,0.24,-,0.65,0.3284,12,84,96
2011-01-21,0,0,1,5,2,0.24,-,0.7,0.2537,4,60,64
2011-01-21,1,0,1,5,2,0.24,0.2273,0.7,0.2537,0,18,18
2011-01-21,2,0,1,5,3,0.24,-,0.75,0.1642,0,6,6
2011-01-21,3,0,1,5,3,0.22,0.2121,0.8,0.2985,0,3,3
2011-01-21,4,0,1,5,2,0.22,0.2576,0.87,0.0896,0,3,3
2011-01-21,5,0,1,5,1,0.24,0.19699999999999998,0.6,0.4179,4,12,16
2011-01-21,6,0,1,5,1,0.22,0.2121,0.55,0.2537,0,81,81
2011-01-21,7,0,1,5,1,0.2,-,0.51,0.2836,8,198,206
2011-01-21,8,0,1,5,1,0.2,0.1818,0.47,0.3284,28,630,658
2011-01-21,9,0,1,5,1,0.2,0.1818,0.51,0.3582,28,477,505
2011-01-21,10,0,1,5,1,0.2,0.1667,0.47,0.4627,24,171,195
2011-01-21,11,0,1,5,1,0.22,-,0.41,0.4627,24,159,183
2011-01-21,12,0,1,5,1,0.22,0.1818,0.27,0.5821,44,201,245
2011-01-21,13,0,1,5,1,0.2,0.1515,0.21,0.5821,32,195,227
2011-01-21,14,0,1,5,1,0.2,0.1515,0.25,0.5224,24,168,192
2011-01-21,15,0,1,5,1,0.16,0.1212,0.26,0.4478,16,183,199
2011-01-21,16,0,1,5,1,0.16,0.1364,0.26,0.3582,0,291,291
2011-01-21,17,0,1,5,1,0.14,0.1212,0.28,0.3582,40,453,493
2011-01-21,18,0,1,5,1,0.12,-,0.3,0.2537,4,357,361
2011-01-21,19,0,1,5,1,0.12,0.1061,0.3,0.3284,12,279,291
2011-01-21,20,0,1,5,1,0.1,0.0758,0.33,0.4179,4,156,160
2011-01-21,21,0,1,5,1,0.08,0.0758,0.38,0.2836,0,123,123
2011-01-21,22,0,1,5,1,0.06,0.0303,0.41,0.3881,4,99,103
2011-01-21,23,0,1,5,1,0.06,0.0455,0.38,0.3284,0,81,81
2011-01-22,0,0,0,6,1,0.04,0.0303,0.45,0.2537,0,39,39
2011-01-22,1,0,0,6,2,0.04,0.0,0.41,0.3881,12,27,39
2011-01-22,2,0,0,6,2,0.04,-,0.41,0.2537,0,33,33
2011-01-22,3,0,0,6,2,0.04,0.0303,0.41,0.2836,4,18,22
